target,horizon_months,model,benchmark,dm_stat,p_value
cpi_core_yoy,1,Ridge,VAR,-4.2160734951003676,2.4859277225175447e-05
cpi_core_yoy,1,ElasticNet,VAR,-3.344257743389222,0.0008250304949861675
cpi_core_yoy,1,LSTM_Adam,VAR,-7.1471459801837325,8.859579736508749e-13
cpi_core_yoy,1,LSTM_SGD,VAR,-4.980835725399711,6.33102661851126e-07
cpi_core_yoy,1,GRU_Adam,VAR,-4.744382166609436,2.0914367759861108e-06
cpi_core_yoy,1,GRU_SGD,VAR,-5.891354890343595,3.8304193150651145e-09
cpi_headline_yoy,1,Ridge,VAR,-3.9240194114785454,8.708371399546166e-05
cpi_headline_yoy,1,ElasticNet,VAR,-4.247190305517493,2.1646808179287547e-05
cpi_headline_yoy,1,LSTM_Adam,VAR,-6.794123216764226,1.0897283075905762e-11
cpi_headline_yoy,1,LSTM_SGD,VAR,-6.92492273056049,4.36206626375224e-12
cpi_headline_yoy,1,GRU_Adam,VAR,-6.308327350429446,2.820672584391559e-10
cpi_headline_yoy,1,GRU_SGD,VAR,-7.9425869061127745,1.9984014443252818e-15
indpro_total_yoy,1,Ridge,VAR,-1.2536454662251426,0.20997089765251298
indpro_total_yoy,1,ElasticNet,VAR,-0.7622556498940781,0.4459074380299357
indpro_total_yoy,1,LSTM_Adam,VAR,-4.82518131680453,1.398759569060104e-06
indpro_total_yoy,1,LSTM_SGD,VAR,-4.731353023234463,2.2302827025200145e-06
indpro_total_yoy,1,GRU_Adam,VAR,-3.8221211854310324,0.0001323086361537662
indpro_total_yoy,1,GRU_SGD,VAR,-3.8144241259546168,0.00013650086601924016
t10y2y,1,Ridge,VAR,0.3911906762937833,0.6956562995521007
t10y2y,1,ElasticNet,VAR,1.326864090339438,0.18455364498180837
t10y2y,1,LSTM_Adam,VAR,-3.4518925698525993,0.0005566693186644933
t10y2y,1,LSTM_SGD,VAR,-4.3771117994539255,1.2026229518902198e-05
t10y2y,1,GRU_Adam,VAR,-2.976200559534053,0.0029184393263628206
t10y2y,1,GRU_SGD,VAR,-3.7177442440805506,0.00020100961465674416
unrate_u3,1,Ridge,VAR,-0.603502208623253,0.5461746466846102
unrate_u3,1,ElasticNet,VAR,-0.38082826590905966,0.703330683757065
unrate_u3,1,LSTM_Adam,VAR,-3.7008812242695663,0.00021485203286197851
unrate_u3,1,LSTM_SGD,VAR,-4.134641754748757,3.555087630746634e-05
unrate_u3,1,GRU_Adam,VAR,-4.702763538938061,2.5666360878862093e-06
unrate_u3,1,GRU_SGD,VAR,-4.036763511262794,5.4193648302280906e-05
cpi_core_yoy,12,Ridge,VAR,0.5744279303895748,0.5656782569631877
cpi_core_yoy,12,ElasticNet,VAR,0.32681918476306504,0.7438046482031493
cpi_core_yoy,12,LSTM_Adam,VAR,0.5899867160866088,0.5551995554280489
cpi_core_yoy,12,LSTM_SGD,VAR,0.8575426864897114,0.39114503432155634
cpi_core_yoy,12,GRU_Adam,VAR,0.3716424880336923,0.7101590504285538
cpi_core_yoy,12,GRU_SGD,VAR,0.855146598331904,0.3924699952666306
cpi_headline_yoy,12,Ridge,VAR,0.7928986947349007,0.4278368478765173
cpi_headline_yoy,12,ElasticNet,VAR,0.7962154176203426,0.4259068377817554
cpi_headline_yoy,12,LSTM_Adam,VAR,0.6652634531523696,0.5058820017776391
cpi_headline_yoy,12,LSTM_SGD,VAR,0.9375301567103392,0.3484859189735441
cpi_headline_yoy,12,GRU_Adam,VAR,0.7554235122766101,0.44999490995141445
cpi_headline_yoy,12,GRU_SGD,VAR,0.942511397661157,0.34593087855431737
indpro_total_yoy,12,Ridge,VAR,-1.0120970637995472,0.3114916461594961
indpro_total_yoy,12,ElasticNet,VAR,0.3179601280291813,0.7505151817791686
indpro_total_yoy,12,LSTM_Adam,VAR,0.8712744907950675,0.38360429536848906
indpro_total_yoy,12,LSTM_SGD,VAR,0.41339051081625433,0.6793205258251203
indpro_total_yoy,12,GRU_Adam,VAR,0.34974439414376685,0.7265305334878926
indpro_total_yoy,12,GRU_SGD,VAR,0.7727581232653832,0.43966554106570443
t10y2y,12,Ridge,VAR,-0.7751424114334986,0.4382555129252059
t10y2y,12,ElasticNet,VAR,-0.5270909372211836,0.5981304399455238
t10y2y,12,LSTM_Adam,VAR,-0.16944795602583101,0.865444305375483
t10y2y,12,LSTM_SGD,VAR,0.30461047432953337,0.7606628415696421
t10y2y,12,GRU_Adam,VAR,0.6098441328613622,0.5419650634431985
t10y2y,12,GRU_SGD,VAR,0.41594298205663394,0.6774517264654174
unrate_u3,12,Ridge,VAR,-0.8346311640012662,0.40392540993675086
unrate_u3,12,ElasticNet,VAR,0.9497628745107392,0.3422327539440775
unrate_u3,12,LSTM_Adam,VAR,0.3635412604325963,0.7162005967651326
unrate_u3,12,LSTM_SGD,VAR,0.1704625441707989,0.8646463886381615
unrate_u3,12,GRU_Adam,VAR,-0.356341486438024,0.7215848439755983
unrate_u3,12,GRU_SGD,VAR,0.268486337760966,0.7883249898406643
