target,horizon_months,model,n_obs,rmse,mae,directional_accuracy,turning_point_f1
cpi_core_yoy,1,VAR,307,0.19285266389169842,0.1313779270446015,0.5980392156862745,0.46835443037974683
cpi_core_yoy,1,Ridge,307,0.33628930140472035,0.2265107578879016,0.5228758169934641,0.5311475409836065
cpi_core_yoy,1,ElasticNet,307,0.30823447955881605,0.2095380666909088,0.5326797385620915,0.4871794871794871
cpi_core_yoy,1,LSTM_Adam,307,0.7916728942868412,0.5770866395589603,0.5392156862745098,0.5359477124183006
cpi_core_yoy,1,LSTM_SGD,307,0.7463620782596675,0.5134450214877481,0.4803921568627451,0.46
cpi_core_yoy,1,GRU_Adam,307,0.8157715107198502,0.5298387317810621,0.5163398692810458,0.47096774193548385
cpi_core_yoy,1,GRU_SGD,307,0.7998856005859394,0.5647042320777363,0.565359477124183,0.456953642384106
cpi_headline_yoy,1,VAR,307,0.42468730889406436,0.31270488687277637,0.6176470588235294,0.47491638795986624
cpi_headline_yoy,1,Ridge,307,0.7266512595311734,0.501607343279445,0.5588235294117647,0.44666666666666666
cpi_headline_yoy,1,ElasticNet,307,0.6589110435909704,0.46300478868436085,0.5359477124183006,0.43421052631578944
cpi_headline_yoy,1,LSTM_Adam,307,1.1738351307767174,0.8912916130090818,0.545751633986928,0.5136986301369862
cpi_headline_yoy,1,LSTM_SGD,307,1.2505356390841,0.9312281664497899,0.5326797385620915,0.35494880546075086
cpi_headline_yoy,1,GRU_Adam,307,1.3063646277553298,0.9553852266798538,0.5261437908496732,0.4900662251655629
cpi_headline_yoy,1,GRU_SGD,307,0.9881330737370383,0.7670902736716279,0.5261437908496732,0.5033112582781456
indpro_total_yoy,1,VAR,307,1.9831824985204558,0.9984949690919573,0.5098039215686274,0.3517915309446254
indpro_total_yoy,1,Ridge,307,2.4260647252694483,1.3231469619749798,0.5555555555555556,0.4840764331210191
indpro_total_yoy,1,ElasticNet,307,2.189334472552449,1.174717977903865,0.5490196078431373,0.5144694533762056
indpro_total_yoy,1,LSTM_Adam,307,3.1785499585134476,2.1094021948075032,0.5686274509803921,0.5419354838709677
indpro_total_yoy,1,LSTM_SGD,307,3.157014323194729,2.1621830588490454,0.5522875816993464,0.5148514851485149
indpro_total_yoy,1,GRU_Adam,307,2.8547939397184634,1.9191492655966154,0.5784313725490197,0.495114006514658
indpro_total_yoy,1,GRU_SGD,307,2.927361690493011,2.0813970262885815,0.5751633986928104,0.5394736842105262
t10y2y,1,VAR,307,0.26628377133487596,0.16174313096896342,0.5326797385620915,0.4248366013071896
t10y2y,1,Ridge,307,0.2469132667775551,0.1605168127919093,0.5163398692810458,0.3774834437086093
t10y2y,1,ElasticNet,307,0.18891220546500348,0.13751230539694814,0.5261437908496732,0.3594771241830066
t10y2y,1,LSTM_Adam,307,0.4303105918683788,0.33279973925276374,0.5294117647058824,0.4752475247524752
t10y2y,1,LSTM_SGD,307,0.4810746709507035,0.37225236962691965,0.5718954248366013,0.42763157894736836
t10y2y,1,GRU_Adam,307,0.40637847333277993,0.30520277730319706,0.5294117647058824,0.4640522875816993
t10y2y,1,GRU_SGD,307,0.4551795489369538,0.32684180550738345,0.5294117647058824,0.39473684210526316
unrate_u3,1,VAR,307,0.7967622446281608,0.2316840838733337,0.3888888888888889,0.352542372881356
unrate_u3,1,Ridge,307,0.8341092197393788,0.2743632051875468,0.4411764705882353,0.49484536082474223
unrate_u3,1,ElasticNet,307,0.824497962208538,0.2500388214178414,0.43137254901960786,0.5051903114186851
unrate_u3,1,LSTM_Adam,307,1.410308235033237,0.7838661927353676,0.3888888888888889,0.4551724137931034
unrate_u3,1,LSTM_SGD,307,1.231182188805339,0.6335730026133286,0.3954248366013072,0.5187713310580205
unrate_u3,1,GRU_Adam,307,1.3339001143388405,0.7646570192486144,0.3954248366013072,0.4199288256227758
unrate_u3,1,GRU_SGD,307,1.1573444571992288,0.6470500084010321,0.4019607843137255,0.4693140794223827
cpi_core_yoy,12,VAR,296,1.6760962807710325,0.9053327136139041,0.43050847457627117,0.46621621621621623
cpi_core_yoy,12,Ridge,296,1.43079808631214,0.8730305863668495,0.4847457627118644,0.47491638795986624
cpi_core_yoy,12,ElasticNet,296,1.5534150489067393,1.0172012905865229,0.49491525423728816,0.4916943521594685
cpi_core_yoy,12,LSTM_Adam,296,1.4074242815993836,0.9349155834150885,0.5084745762711864,0.5085910652920963
cpi_core_yoy,12,LSTM_SGD,296,1.2593091386934985,0.7839113198983647,0.4915254237288136,0.5154639175257731
cpi_core_yoy,12,GRU_Adam,296,1.4861443619677996,0.9966183461502778,0.4440677966101695,0.5165562913907285
cpi_core_yoy,12,GRU_SGD,296,1.2346327776988693,0.7703196864781605,0.5050847457627119,0.5114754098360655
cpi_headline_yoy,12,VAR,296,2.852572981250632,1.7249865908677955,0.3694915254237288,0.43298969072164945
cpi_headline_yoy,12,Ridge,296,2.3433205204464644,1.687911446482847,0.5016949152542373,0.4742268041237114
cpi_headline_yoy,12,ElasticNet,296,2.397774956598018,1.7759760112353717,0.5016949152542373,0.4551724137931034
cpi_headline_yoy,12,LSTM_Adam,296,2.3630242084645388,1.7613971695321753,0.46440677966101696,0.45714285714285713
cpi_headline_yoy,12,LSTM_SGD,296,2.1794578187697335,1.5800999335864883,0.4915254237288136,0.5172413793103449
cpi_headline_yoy,12,GRU_Adam,296,2.3007555416210166,1.7007532843378477,0.5288135593220339,0.4657534246575342
cpi_headline_yoy,12,GRU_SGD,296,2.2231970272796144,1.6309934997043307,0.5016949152542373,0.4965034965034965
indpro_total_yoy,12,VAR,296,5.941931990434399,3.5725301042329862,0.3898305084745763,0.4444444444444444
indpro_total_yoy,12,Ridge,296,10.13971115968304,5.16765812920981,0.5288135593220339,0.503448275862069
indpro_total_yoy,12,ElasticNet,296,5.523356640368136,4.038853630581646,0.5423728813559322,0.5423728813559322
indpro_total_yoy,12,LSTM_Adam,296,4.9396334666691875,3.4340688239066326,0.5254237288135594,0.5346534653465347
indpro_total_yoy,12,LSTM_SGD,296,5.463798609376484,3.9804062582027124,0.5322033898305085,0.5294117647058824
indpro_total_yoy,12,GRU_Adam,296,5.5499705694423325,3.961876800517049,0.5423728813559322,0.4864864864864865
indpro_total_yoy,12,GRU_SGD,296,5.085230845193692,3.4492102860168936,0.559322033898305,0.5512367491166079
t10y2y,12,VAR,296,1.0673993253525869,0.6608225531861462,0.49491525423728816,0.54
t10y2y,12,Ridge,296,1.5428863708438956,0.8391444046449645,0.488135593220339,0.4948453608247423
t10y2y,12,ElasticNet,296,1.3393374317350166,0.7888389439558428,0.4847457627118644,0.528813559322034
t10y2y,12,LSTM_Adam,296,1.1182479192119479,0.9305677814519889,0.48135593220338985,0.5016949152542373
t10y2y,12,LSTM_SGD,296,0.9741254838640907,0.7986122297576149,0.49830508474576274,0.48936170212765956
t10y2y,12,GRU_Adam,296,0.8776112810253025,0.7401859931834043,0.535593220338983,0.46366782006920415
t10y2y,12,GRU_SGD,296,0.9523112086766006,0.7947527391000374,0.535593220338983,0.5369127516778524
unrate_u3,12,VAR,296,2.3702236964181713,1.1460487985542251,0.3694915254237288,0.5121107266435987
unrate_u3,12,Ridge,296,4.578981322567713,1.4903426451896233,0.4,0.5085910652920962
unrate_u3,12,ElasticNet,296,1.7246876842161951,1.1041417927581798,0.43728813559322033,0.5314685314685315
unrate_u3,12,LSTM_Adam,296,2.091277163839167,1.5259578197389034,0.4101694915254237,0.552901023890785
unrate_u3,12,LSTM_SGD,296,2.2449859177489286,1.8333441890574789,0.4406779661016949,0.4946996466431095
unrate_u3,12,GRU_Adam,296,2.62944408249489,1.9523616126159558,0.4101694915254237,0.5017667844522968
unrate_u3,12,GRU_SGD,296,2.180665087835416,1.6153354765595616,0.4,0.4483985765124555
