var,n_non_missing,n_outliers_abs_robust_z_gt_5
chargeoff_credit_cards,788,191
sloos_tightening_ci_large_mid,788,179
monetary_base,788,173
delinq_credit_cards,788,92
usd_jpy,656,69
ref_sp500,788,66
m1,788,64
nasdaq,654,60
nfci,656,59
umich_infl_1y,572,49
tb3smffm,788,42
anfci,656,42
tb6smffm,788,34
t1yff,764,27
payrolls_leisure_hosp_yoy,776,27
cpi_shelter_yoy,776,24
ref_gold,680,22
payrolls_construction_yoy,776,21
payrolls_private_yoy,776,20
employment_level_yoy,776,17
retail_sales_nominal_yoy,392,15
retail_sales_real_yoy,392,15
cpi_transport_yoy,776,14
continuing_claims,704,13
payrolls_total_yoy,776,12
cpff,343,12
cf_nai,702,11
gdp_deflator_yoy,776,11
initial_claims,704,10
ig_oas,344,9
stlfsi,380,9
cpi_food_home_yoy,776,9
us_epu_index,488,8
lei,458,8
indpro_manufacturing_yoy,632,7
hy_oas,344,7
natgas,344,6
payrolls_manufacturing_yoy,776,6
cpi_headline_yoy,776,6
cpi_core_yoy,776,5
t5yff,764,4
indpro_durables_yoy,776,4
baa_10y_spread,476,4
payrolls_trade_transport_util_yoy,776,3
payrolls_retail_trade_yoy,776,3
vix,428,3
unemployment_level,788,3
ppi_all_manufacturing_yoy,464,2
breakeven_5y,272,2
pcepi_headline_yoy,776,2
breakeven_10y,272,2
indpro_total_yoy,776,2
indpro_nondurables_yoy,776,2
unrate_u6,380,2
jolts_layoffs,297,2
ref_cdx_na_hy,163,2
ref_cdx_na_ig,164,2
gdp_nominal_yoy,776,1
manufacturers_inventories,403,1
ppi_mining_yoy,464,1
unrate_u3,788,1
ref_usd_dxy_index,656,1
gdp_real_yoy,776,1
avg_weekly_hours_mfg,234,1
housing_starts_mf5,788,1
infl_5y5y_fwd,272,1
consumer_credit_total,788,0
ref_import_price_index,428,0
ref_median_exp_infl_3y,147,0
m2,788,0
consumer_credit_revolving,692,0
ref_russell_2000,560,0
ref_us_ois_3m,289,0
consumer_credit_nonrevolving,788,0
ref_acm_term_premium_10y,764,0
ref_world_trade_index,308,0
delinq_consumer_loans,788,0
real_estate_loans,788,0
commercial_industrial_loans,788,0
total_bank_credit,632,0
ref_export_price_index,428,0
aaaff,512,0
m2_velocity,788,0
usd_gbp,656,0
ref_aaii_bull_bear_spread,452,0
ref_cb_consumer_confidence,692,0
t10y3mm,524,0
t10y2y,591,0
copper,426,0
gasoline,420,0
wti,476,0
usd_eur,320,0
m1_velocity,788,0
dollar_major,564,0
ref_mortgage_applications,428,0
dollar_broad,236,0
ref_median_exp_infl_1y,147,0
baaff,476,0
sp500,116,0
real_m2,788,0
commodity_index_proxy,788,0
jolts_openings,297,0
aaa_10y_spread,512,0
moody_baa,788,0
housing_starts_sf,788,0
housing_starts,788,0
oecd_mfg_business_conf,788,0
oecd_business_conf_cli,769,0
oecd_consumer_conf_cli,769,0
coincident_index,560,0
wholesale_inventories,404,0
retail_inventories,404,0
business_inventories,404,0
durables_unfilled_orders,404,0
durables_shipments_value,404,0
durables_new_orders,403,0
imports_real,788,0
exports_real,788,0
caputil_manufacturing,788,0
caputil_total,704,0
expinf_5y_clevelandfed,524,0
pcepi_core_yoy,776,0
cpi_comm_less_fe_yoy,776,0
cpi_med_commod_yoy,692,0
cpi_med_services_yoy,776,0
cpi_energy_services_yoy,776,0
cpi_oer_yoy,500,0
cpi_rent_yoy,524,0
cpi_services_yoy,776,0
permits,788,0
permits_sf,788,0
new_home_sales_yoy,740,0
jolts_quits,297,0
moody_aaa,788,0
real_10y,272,0
real_5y,272,0
ust_30y,582,0
ust_10y,764,0
ust_5y,764,0
ust_2y,591,0
tbill_3m,788,0
fed_funds_target,788,0
sofr,89,0
effr,302,0
jolts_hires,297,0
new_home_price_median,752,0
avg_weekly_earnings_mfg,788,0
ahe_total,234,0
payrolls_govt_yoy,776,0
emp_pop_ratio,788,0
participation,788,0
labor_force,788,0
mortgage_15y,408,0
mortgage_30y,653,0
fhfa_hpi_all_transactions,788,0
case_shiller,464,0
new_home_months_supply,752,0
ref_unmich,572,0
